IssueID,Type,EpicID,Epic,Title,Area,Owner,Priority,Sprint,Points,DependsOn,Labels,DoneWhen,Description
A-1,Task,EPIC-01,Foundation Freeze,Принять ADR: Product Foundation Freeze,Architecture,Lead,P0,S1,3,,"architecture,adr,freeze","Есть утверждённый ADR с формулой продукта, границами слоёв и запретами.",Зафиксировать canonical formula: Authoring Platform -> Materializer -> Runtime Target.
A-2,Task,EPIC-01,Foundation Freeze,Заморозить canonical project schema v0.4.x,Schema/Core,Core,P0,S1,5,A-1,"schema,freeze,project-model","Есть документ, fixture и versioning rules для project schema.",Закрепить Project/Definitions/System/Hardware/Views/layouts и signal-first System.
A-3,Task,EPIC-01,Foundation Freeze,Заморозить canonical runtime pack schema v0.1,Architecture+Runtime,Lead+Runtime,P0,S1,5,A-1,"runtime-pack,freeze,target","Есть отдельный документ runtime pack с ownership, diagnostics и target constraints.","Закрепить materialized flat runtime model, отдельную от authoring schema."
A-4,Task,EPIC-01,Foundation Freeze,Заморозить capability facets v1,Architecture+Library,Lead+Library,P0,S1,5,A-2,"facets,library,ux",Есть spec для setup/tuning/operations/debug/simulation/views/recipes/security/comms.,Задать поперечные capability contracts для library objects.
A-5,Task,EPIC-01,Foundation Freeze,Заморозить merge contract UI <-> Materializer <-> Runtime,Architecture,Lead,P0,S1,3,A-2|A-3,"merge-contract,freeze","Есть схема данных, потоки apply/telemetry и ownership mapping.","Зафиксировать, что UI не работает напрямую с runtime CRUD как с языком продукта."
A-6,Task,EPIC-01,Foundation Freeze,Подготовить decision log по спорным местам,Architecture,Lead,P1,S1,2,A-1,decision-log,"Есть список решений: system.signals canonical, composition route-first, routes derived only.",Убрать двусмысленности до начала интенсивной реализации.
B-1,Task,EPIC-02,Shared Schema & Packages,Создать packages/schema,Schema/Core,Core,P0,S1,3,A-2,"repo,package,schema",Есть отдельный пакет со сборкой и экспортами.,Вынести канонические доменные типы в shared package.
B-2,Task,EPIC-02,Shared Schema & Packages,Реализовать canonical TS types,Schema/Core,Core,P0,S1,5,B-1,"types,ts",ObjectType/ObjectInstance/SystemSignal/CompositionRoute описаны и экспортируются.,Сделать типы для authoring schema и facets.
B-3,Task,EPIC-02,Shared Schema & Packages,Реализовать validators для project schema,Schema/Core,Core,P0,S2,5,B-2,"validation,schema",Есть структурная и ссылочная валидация с путями ошибок.,"Проверки: ids, refs, endpoint shape, duplicates, params, facets."
B-4,Task,EPIC-02,Shared Schema & Packages,Реализовать миграции legacy -> 0.4.x,Schema/Core,Core,P1,S2,5,B-2,"migration,legacy",Есть migration pipeline и фикстуры старых проектов.,Нормализовать current UI bridge и старые проектные формы.
B-5,Task,EPIC-02,Shared Schema & Packages,Подготовить fixture library,Schema/Core+QA,Core+QA,P1,S2,3,B-3|B-4,"fixtures,qa","Есть минимальные fixture-проекты: relay, flowmeter, pid, boiler skeleton.",Нужны эталонные проекты для тестов materializer и UI.
B-6,Task,EPIC-02,Shared Schema & Packages,Создать packages/contracts для facets и operations,Schema/Core,Core,P1,S2,3,A-4|B-2,"contracts,operations,facets","Есть экспортируемые контракты facets, operations, trace groups, view hints.",Отделить общие capability contracts от UI/Runtime.
B-7,Task,EPIC-02,Shared Schema & Packages,Добавить versioning и migration notes,Schema/Core,Core,P1,S2,2,B-4,"versioning,docs",Правила schema versioning и миграции опубликованы.,Подготовить базу под future library/package updates.
C-1,Task,EPIC-03,UI Canonicalization,Подключить shared schema package в UI,Frontend,Frontend,P0,S2,3,B-2,"frontend,schema",UI компилируется на shared schema без локальных дублей типов.,Перевести UI на общий контракт.
C-2,Task,EPIC-03,UI Canonicalization,Перевести system endpoints на instance_id/port_id,Frontend,Frontend,P0,S2,5,C-1,"frontend,signals,endpoints","Все system signals, inspector и selection используют стабильные endpoint ids.",Убрать legacy object_id/port shape.
C-3,Task,EPIC-03,UI Canonicalization,Убрать canonical system.routes из project model,Frontend,Frontend,P0,S2,3,C-2,"frontend,signals,routes",Routes на system-level строятся только как derived/preview data.,Сигнал остаётся канонической authoring-сущностью.
C-4,Task,EPIC-03,UI Canonicalization,Сузить vm до transient view-model,Frontend,Frontend,P1,S3,5,C-1,"frontend,vm,cleanup","В vm нет второй доменной логики, только transient UI state.",Прекратить поддерживать второй параллельный редакторный мир.
C-5,Task,EPIC-03,UI Canonicalization,Стабилизировать Definitions / Instance Overview / Composition,Frontend,Frontend,P0,S3,8,C-1,"frontend,definitions,composition","Навигация, selection, layout, inspector и diagnostics стабильны.",Довести новый authoring shell до рабочего baseline.
C-6,Task,EPIC-03,UI Canonicalization,Добавить shells для component faces,Frontend,Frontend,P1,S3,5,A-4|C-5,"frontend,faces,ux",Есть вкладки Overview/Setup/Tune/Actions/Trends/Diagnostics/Simulation с базовой навигацией.,Заложить прогрессивное раскрытие сложности.
C-7,Task,EPIC-03,UI Canonicalization,Подключить semantic build preview к UI,Frontend+Materializer,Frontend+Mat,P1,S3,5,D-2,"frontend,build-preview",UI может запускать validate/build preview и показывать diagnostics по owner ids.,Уйти от прямой привязки UI к runtime сущностям.
C-8,Task,EPIC-03,UI Canonicalization,Стабилизировать migration UX для legacy projects,Frontend,Frontend,P2,S3,3,B-4|C-5,"migration,ux",Есть понятное отображение Generated Types и migration notices.,"Пользователь понимает, как legacy объект стал type+instance."
D-1,Task,EPIC-04,Materializer Core,Создать packages/materializer,Compiler/Materializer,Materializer,P0,S2,3,A-3|B-2,"materializer,package","Есть пакет со сборкой, API и тестовым harness.",Вынести materializer в shared слой.
D-2,Task,EPIC-04,Materializer Core,Сделать pipeline semantic validation,Compiler/Materializer,Materializer,P0,S3,5,D-1|B-3,"materializer,validation","Есть структурированный report с severities, paths, owner ids.",Собрать базовую валидацию как отдельный этап.
D-3,Task,EPIC-04,Materializer Core,Реализовать ref resolution,Compiler/Materializer,Materializer,P0,S3,5,D-2,"materializer,resolution","Type refs, params, ports и child refs корректно резолвятся.",Подготовить стабильный фундамент до elaboration.
D-4,Task,EPIC-04,Materializer Core,Реализовать composition elaboration,Compiler/Materializer,Materializer,P0,S4,8,D-3,"materializer,composition",Hierarchy разворачивается с детерминированными generated ids и ownership.,Сделать flatten для Composition.
D-5,Task,EPIC-04,Materializer Core,Реализовать system signal lowering,Compiler/Materializer,Materializer,P0,S4,5,D-3,"materializer,signals",System signals понижаются в normalized routes без потери identity.,Сохранить signal-first UX и получить flat runtime edges.
D-6,Task,EPIC-04,Materializer Core,Собрать canonical runtime pack,Compiler/Materializer,Materializer,P0,S4,8,D-4|D-5,"materializer,runtime-pack",На выходе deterministic runtime pack с signals/blocks/sequences/alarms/diagnostics.,Сделать единый compiled output.
D-7,Task,EPIC-04,Materializer Core,Сделать ownership + diagnostics mapping,Compiler/Materializer,Materializer,P1,S4,5,D-6,"materializer,ownership,diagnostics",Каждый runtime node знает owner object/type/face.,"Нужно для UX, deploy, error mapping."
D-8,Task,EPIC-04,Materializer Core,Добавить golden tests на relay/flowmeter/pid/boiler,Compiler/Materializer+QA,Mat+QA,P1,S4,5,D-6|B-5,"tests,golden",Есть golden outputs и regression suite.,Зафиксировать materializer против случайных изменений.
E-1,Task,EPIC-05,ESP32 Runtime Adapter,Описать target profile esp32/v1,Runtime,Runtime,P0,S4,3,A-3,"esp32,target-profile",Ограничения и capabilities ESP32 описаны формально.,Отделить platform constraints от authoring schema.
E-2,Task,EPIC-05,ESP32 Runtime Adapter,Реализовать emitter runtime pack -> firmware config,Runtime,Runtime,P0,S5,8,D-6|E-1,"runtime,emitter",Emitter выдаёт совместимый firmware config для текущего ядра.,Сделать target-specific lowering.
E-3,Task,EPIC-05,ESP32 Runtime Adapter,Реализовать apply/deploy flow,Runtime,Runtime,P1,S5,5,E-2,"runtime,deploy",Есть validate/upload/apply/restart/progress flow.,Подключить build output к реальному устройству.
E-4,Task,EPIC-05,ESP32 Runtime Adapter,Реализовать live state bridge,Runtime,Runtime,P1,S5,5,E-2,"runtime,telemetry",Signals/status/alarms/operations доступны по стабильным ids.,Сделать обратный путь runtime -> UI.
E-5,Task,EPIC-05,ESP32 Runtime Adapter,Реализовать diagnostics bridge,Runtime,Runtime,P1,S5,3,E-4|D-7,"runtime,diagnostics",Ошибки runtime мапятся на owner ids и surfaces.,Сделать понятную диагностику для пользователя.
E-6,Task,EPIC-05,ESP32 Runtime Adapter,Стабилизировать generated runtime ids,Runtime,Runtime,P0,S5,5,E-2,"runtime,ids",Derived ids не зависят от порядка и опираются на semantic ownership.,Убрать позиционные имена в ядре.
E-7,Task,EPIC-05,ESP32 Runtime Adapter,Подготовить service API for operations/trends,Runtime,Runtime,P1,S5,5,E-4,"runtime,api,operations,trends",Есть API под operations lifecycle и trace groups.,Поддержать component faces и commissioning UX.
F-1,Task,EPIC-06,Standard Library v1,Зафиксировать TimedRelay object contract,Library,Library,P0,S5,3,A-4|D-6,"library,relay","Есть contract: interface, params, operations/debug/view facets и lowering template.",Базовый эталон простого механизма.
F-2,Task,EPIC-06,Standard Library v1,Зафиксировать Flowmeter object contract,Library,Library,P0,S6,8,A-4|D-6,"library,flowmeter","Есть contract для sensor modes, scaling, totalizer, reset, debug, alarms.","Ключевой эталон сложнее простого, но ещё массовый."
F-3,Task,EPIC-06,Standard Library v1,Зафиксировать PIDController object contract,Library,Library,P0,S6,8,A-4|D-6,"library,pid","Есть contract для tuning, modes, autotune operation, trends, limits.",Ключевой эталон control object.
F-4,Task,EPIC-06,Standard Library v1,Зафиксировать CommBridge object contract,Library,Library,P1,S6,5,A-4|D-6,"library,comms","Есть contract для transport binding, remote points, health/status, timeout.",Подготовить коммуникацию как нормальный ObjectType.
F-5,Task,EPIC-06,Standard Library v1,Зафиксировать Actuator/Pump/Valve contract,Library,Library,P1,S6,5,A-4|D-6,"library,actuator","Есть contract для command/status, interlocks, alarms, diagnostics.",Эталон stateful field device.
F-6,Task,EPIC-06,Standard Library v1,Сделать lowering templates v1 для library objects,Library+Materializer,Library+Mat,P0,S6,5,F-1|F-2|F-3,"library,templates",TimedRelay/Flowmeter/PID lower deterministically to runtime pack.,Подключить library contracts к materializer.
F-7,Task,EPIC-06,Standard Library v1,Подготовить docs/examples library objects,Library,Library,P1,S6,3,F-1|F-2|F-3|F-4|F-5,"docs,library",Есть examples и usage notes для команды и тестов.,Нужна общая библиотечная база.
G-1,Task,EPIC-07,Component Faces & Commissioning UX,Сделать generic Overview face renderer,Frontend,Frontend,P1,S6,5,C-6|F-1|F-2|F-3|F-4|F-5,"faces,overview","Объект показывает статусы, health, key values одинаково и понятно.",Построить user-friendly face для всех library objects.
G-2,Task,EPIC-07,Component Faces & Commissioning UX,Сделать generic Setup face renderer,Frontend,Frontend,P1,S6,5,C-6|A-4,"faces,setup","Генерируются формы по param metadata с units, ranges, hints.",Не рисовать ручную настройку под каждый объект.
G-3,Task,EPIC-07,Component Faces & Commissioning UX,Сделать generic Tune face renderer,Frontend,Frontend,P1,S7,5,G-2|F-3,"faces,tuning",Есть безопасный UX для tuning params и commit/revert.,Особенно важен для PID.
G-4,Task,EPIC-07,Component Faces & Commissioning UX,Сделать generic Actions face renderer,Frontend+Runtime,Frontend+Runtime,P1,S7,5,A-4|E-7,"faces,actions,operations","Operations доступны с lifecycle, confirm policy и progress.",Единый UX для autotune/calibration/reset/test.
G-5,Task,EPIC-07,Component Faces & Commissioning UX,Сделать generic Trends face renderer,Frontend+Runtime,Frontend+Runtime,P1,S7,5,A-4|E-7,"faces,trends,debug",Есть один trend widget по trace groups.,Единый debug-график для компонентов.
G-6,Task,EPIC-07,Component Faces & Commissioning UX,Сделать generic Diagnostics face renderer,Frontend+Runtime,Frontend+Runtime,P1,S7,5,E-5,"faces,diagnostics",Показываются alarms/errors/warnings grouped by owner.,Сделать понятную диагностику без raw internals.
G-7,Task,EPIC-07,Component Faces & Commissioning UX,Сделать on-device menu contract + renderer hints,Frontend+Runtime,Frontend+Runtime,P1,S7,5,A-4|E-4,"faces,hmi,menu",Есть compact menu schema для дисплея и web UI.,Подготовить generated HMI для настройки вживую.
G-8,Task,EPIC-07,Component Faces & Commissioning UX,Добавить access + live edit policies UX,Frontend+Runtime,Frontend+Runtime,P1,S7,5,A-4|E-4,"security,live-edit,ux",UI различает immediate/confirm/restart-only/commissioning-only и роли доступа.,Сделать безопасное online изменение.
H-1,Task,EPIC-08,Simulation & Test Bench,Зафиксировать simulation contract v1,Architecture+Library,Lead+Library,P1,S7,3,A-4,"simulation,contract","Описаны model hooks, fault injection, time scaling, virtual bindings.",Simulation не становится вторым несовместимым миром.
H-2,Task,EPIC-08,Simulation & Test Bench,Сделать virtual hardware binding layer,Runtime+Materializer,Runtime+Mat,P1,S8,5,H-1|D-6,"simulation,binding",Можно переключать object/hardware bindings between real and simulated backends.,Единый backend switch для simulation.
H-3,Task,EPIC-08,Simulation & Test Bench,Сделать test bench runner для sequences/states,Frontend+Runtime,Frontend+Runtime,P1,S8,5,H-2,"simulation,testbench",Есть сценарное воспроизведение событий и проверка стадий.,Нужно для commissioning и проверки package logic.
H-4,Task,EPIC-08,Simulation & Test Bench,Сделать fault injection UX,Frontend,Frontend,P2,S8,3,H-1|G-4,"simulation,ux",Можно безопасно включать типовые fault modes.,Проверка диагностики и стадий на симуляции.
H-5,Task,EPIC-08,Simulation & Test Bench,Добавить replay + captured traces,Frontend+Runtime,Frontend+Runtime,P2,S8,5,G-5|H-3,"simulation,replay,traces",Trace data можно сохранить и переиграть для debug.,Сделать удобный отладочный контур.
I-1,Task,EPIC-09,Boiler Package v1,Спроектировать BoilerSupervisor external contract,Package,Package,P0,S8,5,F-2|F-3|F-5,"package,boiler","Есть external interface, params, alarms, views и ownership model.",Определить доменный каркас котла.
I-2,Task,EPIC-09,Boiler Package v1,Собрать BoilerSupervisor composition skeleton,Package,Package,P0,S8,8,I-1,"package,boiler,composition",Есть composition из flowmeter/pid/sequence/trip/actuator objects.,Проверить иерархию на реальном домене.
I-3,Task,EPIC-09,Boiler Package v1,Добавить BurnerSequence state contract,Package+Library,Package+Library,P1,S8,5,I-2,"package,sequence,state",Есть state contract для purge/ignite/run/fault и diagnostics hooks.,Подготовить stateful часть boiler domain.
I-4,Task,EPIC-09,Boiler Package v1,Сделать boiler package views,Package+Frontend,Package+Frontend,P1,S9,5,I-2|G-1|G-5,"package,views",Есть boiler-specific overview/setup/tune/diagnostics surfaces.,Проверить component faces на пакетном уровне.
I-5,Task,EPIC-09,Boiler Package v1,Сделать boiler package materialization tests,Package+QA,Package+QA,P1,S9,5,I-2|D-8,"tests,package,boiler",Boiler package успешно materialize-ится и применим на target profile.,Проверить end-to-end сборку доменного объекта.
I-6,Task,EPIC-09,Boiler Package v1,Подготовить commissioning сценарии boiler,Package+QA,Package+QA,P1,S9,3,I-4|H-3,"commissioning,boiler","Есть scripts/checklists для startup, fault, shutdown, tuning.",Проверить реальную эксплуатационную ценность.
J-1,Task,EPIC-10,Beta Hardening & Product Unification,Собрать unified repository structure,Architecture+DevOps,Lead+DevOps,P1,S9,5,B-1|D-1,"repo,devops",Монорепо или workspace layout стабилен для ui/schema/materializer/runtime.,Сделать один продукт организационно.
J-2,Task,EPIC-10,Beta Hardening & Product Unification,Настроить CI для schema/materializer/runtime/ui,DevOps+QA,DevOps+QA,P1,S9,5,J-1,"ci,qa",Есть lint/test/golden/integration pipeline.,Убрать ручную сборку как основной контроль качества.
J-3,Task,EPIC-10,Beta Hardening & Product Unification,Сделать compatibility test matrix,QA,QA,P1,S9,5,J-2|E-2,"qa,compatibility","Есть matrix: legacy projects, v0.4 projects, esp32 target profile.",Стабилизировать обновления и миграции.
J-4,Task,EPIC-10,Beta Hardening & Product Unification,Сделать product packaging и release flow,DevOps+Lead,DevOps+Lead,P2,S10,5,J-1|J-2,"release,packaging",Есть reproducible release flow для UI + materializer + runtime firmware.,Подготовить продукт к beta.
J-5,Task,EPIC-10,Beta Hardening & Product Unification,Сделать beta documentation set,Lead+All,Lead+All,P2,S10,5,J-2|I-5,"docs,beta","Есть setup guide, authoring guide, commissioning guide и target limits.",Собрать продуктовый пакет под beta.
J-6,Task,EPIC-10,Beta Hardening & Product Unification,Провести beta readiness review,Lead+QA,Lead+QA,P1,S10,3,J-3|J-4|J-5,"beta,review",Есть checklist и go/no-go решение на beta.,Оценить готовность к реальному использованию.
J-7,Task,EPIC-10,Beta Hardening & Product Unification,Закрыть P0/P1 runtime-owner diagnostics gaps,Runtime+Frontend,Runtime+Frontend,P1,S10,5,E-5|G-6,"diagnostics,beta",P0/P1 пробелы в owner mapping и diagnostics закрыты.,Сделать систему понятной не только авторам.
J-8,Task,EPIC-10,Beta Hardening & Product Unification,Подготовить first customer/demo bundle,Lead+Package,Lead+Package,P2,S10,3,I-4|J-5,"demo,customer",Есть демонстрационный пакет: relay/flowmeter/pid/boiler.,Нужен понятный showcase продукта.
